ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,1,11,1100098,2,3,1,121.359783,169.91047,B,C,D,B,A,A, ,B,C,C
2017,3,35,3523107,2,3,1,146.363079,156.218695,B,B,D,B,A,A,A,C,B,B
2017,3,32,3204609,2,3,1,191.408515,250.469033,A,A,C,B,A,A,A,C,E,B
2017,3,35,3550308,1,3,1,274.118582,244.997565,B,A,D,B,A,A,A,D,B,A
2017,2,23,2309508,2,3,1,221.358534,197.142051,B,A,C,B,A,A,A,D,A,B
2017,5,52,5208707,1,3,1,231.222394,210.256459,B,A,D,A,A,A,A,A,A,C
2017,3,31,3106705,2,3,1,265.056496,242.353299,B,C,C,C,A,B,A,C,A,A
2017,4,41,4127106,2,3,1,218.531197,256.776147,A,D,C,A,A,B,A,B,E,C
2017,5,52,5220207,2,3,2,188.571757,209.521084,A,C,C,A,B,B,C,D,B,C
2017,2,21,2106326,2,3,1,142.117254,166.871493,A,C,D,B,A,A,A, ,B,B
2017,3,31,3106200,1,3,1,256.838715,287.72535,A, ,E,B,A,A,A,C,A,B
2017,1,11,1101708,2,3,2,219.255896,209.509682,B,C,D,A,A,A,A,A,E,C
2017,2,25,2506301,2,3,1,288.494755,271.380868,A,C,D,A,C,C,B,B,A,B
2017,2,27,2704302,1,2,1,165.353376,150.696253,A,C,G, ,A,B,B,D,A,C
2017,3,31,3126901,2,2,1,167.652587,202.174596,B,C,G,B,C,B,A,A,D,A
2017,1,16,1600303,1,3,1,244.838058,240.048355,A,C,D,A,A,A,A,B,E,A
2017,3,35,3516309,2,3,1,225.90572,265.786493,B,C,C,B,A,A,A,A,E,B
2017,4,42,4207106,2,3,1,290.66031,226.509613,B,A,D,B,A,A,B,D,A,A
2017,1,13,1302603,1,2,1,196.647287,247.12343,A,C,D,B,A,B,C,B,A,A
2017,3,35,3538006,2,3,1,230.02202,236.159479,A,C,C,A,A,B,A,D,E,B
2017,3,35,3509205,2,3,1,185.157016,250.669295,A,C,C,A,A,A,B,D,E,C
2017,3,31,3118403,2,2,1,176.639141,277.587431,A,C,C,B,A,A,A,D,A,B
2017,3,35,3526803,2,3,1,247.07865,319.21777,A,A,D,C,A,A,A,B,A,B
2017,5,53,5300108,1,2,1,127.173069,176.73252,A,F,C,B,A,B,B,B,D,B
2017,2,23,2312908,2,3,1,243.008187,267.4437,A,C,C,A,A,A,B,D,A,B
2017,3,35,3524501,2,3,1,243.380618,274.194376,B,C,C,A,A,A,A,C,B,B
2017,4,43,4320800,2,3,1,250.145973,187.769411,B,A,D,A,C,A,A,A,A,C
2017,4,41,4105607,2,3,1,205.531092,242.05394,A,C,D,A,A,B,A,B, ,A
2017,4,43,4316451,2,3,1,241.21622,331.825346,A,A,D,A,A,B,A,E,A,C
2017,2,26,2608909,2,3,1,329.610766,305.958712,B,C,D,A,A,B,A,C,E,C
2017,3,35,3551702,2,3,1,235.53075,279.87829,A,A,D,B,A,A,A,B,A,B
2017,1,15,1504703,2,3,1,157.236361,217.228189,A,C,E,A,B,A,C,A,A,B
2017,3,31,3106705,2,2,1,161.229307,165.66992,B,C,C,B,A,A,B,C,E,B
2017,4,41,4105805,2,3,1,248.292026,202.678745,B,A,B,D,A,A,A,D,A,C
